"zip","type","primary_city","acceptable_cities","unacceptable_cities","state","county","timezone","area_codes","latitude","longitude","world_region","country","decommissioned","estimated_population","notes"
"00501","UNIQUE","Holtsville",,"I R S Service Center","NY","Suffolk County","America/New_York","631","40.81","-73.04","NA","US","0","384",
"00544","UNIQUE","Holtsville",,"Irs Service Center","NY","Suffolk County","America/New_York","631","40.81","-73.04","NA","US","0","0",
"00601","STANDARD","Adjuntas",,"Colinas Del Gigante, Jard De Adjuntas, Urb San Joaquin","PR","Adjuntas","America/Puerto_Rico","787,939","18.16","-66.72","NA","US","0","0",
"00602","STANDARD","Aguada",,"Alts De Aguada, Bo Guaniquilla, Comunidad Las Flores, Ext Los Robles, Urb Isabel La Catolica","PR",,,"787","18.38","-67.18","NA","US","0","0",
"00603","STANDARD","Aguadilla","Ramey","Bda Caban, Bda Esteves, Bo Borinquen, Bo Ceiba Baja, Ext El Prado, Ext Marbella, Repto Jimenez, Repto Juan Aguiar, Repto Lopez, Repto Tres Palmas, Sect Las Villas, Urb Borinquen, Urb El Prado, Urb Esteves, Urb Garcia, Urb Las Americas, Urb Las Casitas Country Club, Urb Maleza Gdns, Urb Marbella, Urb Ramey, Urb Rubianes, Urb San Carlos, Urb Santa Marta, Urb Victoria, Villa Alegria, Villa Linda, Villa Lydia, Villa Universitaria, Villas De Almeria, Vista Alegre, Vista Verde","PR","Aguadilla","America/Puerto_Rico","787","18.43","-67.15","NA","US","0","0",
"00604","PO BOX","Aguadilla","Ramey",,"PR",,,,"18.43","-67.15","NA","US","0","0",
"00605","PO BOX","Aguadilla",,,"PR",,,,"18.43","-67.15","NA","US","0","0",
"00606","STANDARD","Maricao",,"Urb San Juan Bautista","PR","Maricao","America/Puerto_Rico","787,939","18.18","-66.98","NA","US","0","0",
"00610","STANDARD","Anasco",,"Brisas De Anasco, Est De Valle Verde, Jard De Anasco, Paseo Del Valle, Repto Daguey, Urb San Antonio","PR",,,"787","18.28","-67.14","NA","US","0","0",
"00611","PO BOX","Angeles",,,"PR",,,,"18.28","-66.79","NA","US","0","0","no NWS data, "
"00612","STANDARD","Arecibo",,"Alt De Juncos, Alt De San Felipe, Bda Duhamel, Bo El Pasaje, Bo Islote, Bo Islote Ii, Bo Jarealitos, Bo Obrero, Bo Santana, Comunidad Buenos Aires, Est De Arecibo, Est De Balseiro, Ext Marisol, Ext Tanama, Ext Villa Los Santos I, Ext Villa Los Santos Ii, Hacienda Toledo, Jard De Arecibo, Jard De San Rafael, Parc Mattey, Parc Navas, Parc Perez, Parc Rodriguez Olmo, Parq De Jardines, Paseos Reales, Repto Marquez, Repto San Jose, Repto San Juan, Sect Abra, Sect El Cano, Sect Las Animas, Sect Muelle, Urb Arecibo Gdns, Urb College Park Iv, Urb Costas Del Atlantico, Urb El Paraiso, Urb Factor, Urb Garcia, Urb Garden View, Urb La Mucura, Urb Las Brisas, Urb Los Llanos, Urb Los Pinos, Urb Los Pinos Ii, Urb Marisol, Urb Martell, Urb Ocean Vw, Urb Radioville, Urb Regional, Urb San Daniel, Urb San Felipe, Urb San Lorenzo, Urb Tanama, Urb University Gdns, Urb Victor Rojas 1, Urb Victor Rojas 2, Urb Villamar, Urb Zeno Gandia, Valle Escondido, Villa Los Santos, Villa Lucia, Villa Serena, Villa Toledo, Villas Del Capitan, Villas Del Sol, Vista Azul, Vista Del Atlantico","PR","Arecibo","America/Puerto_Rico","787","18.45","-66.73","NA","US","0","0",
"00613","PO BOX","Arecibo",,,"PR",,,,"18.45","-66.73","NA","US","0","0",
"00614","PO BOX","Arecibo",,,"PR",,,,"18.45","-66.73","NA","US","0","0",
"00616","STANDARD","Bajadero",,"Brisas Del Valle","PR","Arecibo","America/Puerto_Rico",,"18.4","-66.66","NA","US","0","0",
"00617","STANDARD","Barceloneta",,"Bda Catalana, Brisas De Llanadas, Brisas Del Monte, Est De Barceloneta, Est De Florida, Ext Est De Imbery, Ext Parc Punta Palmas, Parc Garrochales, Parc Imbery, Parc Magueyes, Parc Palenque, Parc Punta Palmas, Parc Tiburon, Repto Las Llanadas, Urb Cataluna, Urb Cimarrona Ct, Urb Las Delicias, Urb Las Praderas, Urb Ortega, Urb Plazuela Estates, Urb Sol Naciente, Villa Barcelona, Villa Central, Villa Georgetti, Villas De La Sabana","PR","Barceloneta","America/Puerto_Rico","787","18.45","-66.53","NA","US","0","0",
"00622","STANDARD","Boqueron",,"Villa Taina","PR",,,"787","17.99","-67.15","NA","US","0","0",
"00623","STANDARD","Cabo Rojo",,"Alts De Joyuda, Alts Del Mar, Bo Ballaja, Bo Monte Grande, Est De Miramar, Est Reales, Ext Elizabeth, Ext La Concepcion, Ext Parc Elizabeth, Ext Sierra Linda, Haciendas De Belvedere, Haciendas De Cabo Rojo, Haciendas De Miramar, Jard Del Puerto, Mans De Cabo Rojo, Mansiones, Parc Betances, Parc Elizabeth, Parc Las Margaritas, Parc Las 35, Parc Puerto Real, Qtas De Cabo Rojo, Repto Miradero, Repto Oliveras, Urb Alta Vista, Urb Ana Maria, Urb Borinquen, Urb El Retiro, Urb Elizabeth, Urb Kofresi, Urb La Concepcion, Urb Monte Grande, Urb Montesol, Urb Ramirez, Urb Remanso De Cabo Rojo, Urb San Miguel, Urb Sierra Linda, Villa Aida, Villa Del Carmen, Villa Luisa, Villas De Plan Bonito","PR",,,"787","18.08","-67.14","NA","US","0","0",
"00624","STANDARD","Penuelas",,"Alt De Penuelas Ii, Alts De Penuelas, Brisas De Guayanes, Colinas De Penuelas, Ext Alts De Penuelas Ii, Jard De Penuelas, Repto Kennedy, Sect Mal Paso, Urb El Madrigal, Urb Guayanes, Urb Monte Verde, Urb Penuelas Valley, Urb Rio Sol, Urb Riverside, Urb Sagrado Corazon, Villa Esmeralda, Vista Bahia","PR",,,"787","18.06","-66.72","NA","US","0","0",
"00627","STANDARD","Camuy",,"Alts El Maestro, Sect Pena, Urb Del Carmen, Urb Las Veredas, Urb Linda Vista, Vistas De Camuy","PR",,,"787","18.48","-66.84","NA","US","0","0",
"00631","PO BOX","Castaner","Adjuntas",,"PR",,,,"18.19","-66.82","NA","US","0","0",
"00636","PO BOX","Rosario",,,"PR",,,,"18.15","-67.06","NA","US","0","0",
"00637","STANDARD","Sabana Grande",,"Alts De San Jose, Bda San Isidro, Est Del Rio, Ext San Jose 2, Parc Maginas, Parc Susua, Urb El Arrendado, Urb La Milagrosa, Urb San Miguel, Urb Santa Ana, Urb Santa Elena, Urb Santa Maria, Vistas De Sabana Grande","PR",,,"787","18.08","-66.96","NA","US","0","0",
"00638","STANDARD","Ciales",,"Qtas De Ciales, Urb Dos Rios, Urb Los Llanos, Urb Monte Rey","PR",,,"787","18.33","-66.47","NA","US","0","0",
"00641","STANDARD","Utuado",,"Alts De Utuado, Bda Nueva, Ext San Martin, Jard De Bubao, Sect Bella Vista, Sect Cercadillo, Sect Vendrell, Urb Cabrera, Urb Jesus M Lago, Urb Perez Matos, Urb San Martin","PR",,,"787","18.27","-66.7","NA","US","0","0",
"00646","STANDARD","Dorado",,"Bo Arenal, Bo Saldinera, Bosque Dorado, Chalets De Dorado, Comunidad Arenales, Comunidad Arenales Ii, Hacienda Mi Querido Viejo, Jard De Dorado, Jard Dorado, Parc El Cotto, Parc Mameyal, Parc San Antonio, Paseo Del Mar, Paseo Del Sol, Paseo Las Olas, Paseo Las Palmas, Paseo Los Corales, Paseo Los Corales Ii, Paseo Real, Qtas De Dorado, Sect La Aldea, Urb Costa De Oro, Urb Dorado Country Ests, Urb Dorado Del Mar, Urb Dorado Reef, Urb Doraville, Urb Gables Breeze, Urb Golden Hls, Urb Los Montes, Urb Los Prados Norte, Urb Los Prados Sur, Urb Martorell, Urb Miraflores, Urb Monte Bello, Urb Monte Elena, Urb Monte Mayor, Urb Monte Verde, Urb Montelindo, Urb Montereal, Urb Paisajes De Dorado, Urb Palmar Dorado Norte, Urb Sabanera Dorado, Urb Santa Barbara, Urb The Clusters, Urb The Estates, Valle Dorado, Villa Plata, Villa Santa, Villa Santa Ii","PR",,,"787","18.47","-66.27","NA","US","0","0",
"00647","STANDARD","Ensenada",,"Urb Baco","PR",,,,"17.96","-66.94","NA","US","0","0",
"00650","STANDARD","Florida",,"Alt De Florida, Est De Arroyo, Repto Seoane, Urb Altos De Florida, Urb Las Flores, Urb Vegas De Florida","PR",,,"787,939","18.36","-66.56","NA","US","0","0",
